"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","Creating a new product.","SUCCESS","2023-06-04T17:55:58.176+01:00[Europe/London]","0.0","5.73"
"Products CRUD test","Getting single product.","SUCCESS","2023-06-04T17:56:03.946+01:00[Europe/London]","0.0","0.1"
"Products CRUD test","Updating the product.","SUCCESS","2023-06-04T17:56:04.045+01:00[Europe/London]","0.0","0.23"
"Products CRUD test","Deleting the product and verifying the deletion.","SUCCESS","2023-06-04T17:56:04.276+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","Creating store and verifying the creation.","SUCCESS","2023-06-04T17:56:06.636+01:00[Europe/London]","0.0","0.16"
"Stores CRUD test","Getting store information by id.","SUCCESS","2023-06-04T17:56:06.794+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","Updating store information by id.","SUCCESS","2023-06-04T17:56:06.861+01:00[Europe/London]","0.0","0.12"
"Stores CRUD test","Deleting the store and verifying the deletion.","SUCCESS","2023-06-04T17:56:06.984+01:00[Europe/London]","0.0","0.07"
"Products assertion test","Verify the if the total is equal to 51957","SUCCESS","2023-06-04T17:56:07.570+01:00[Europe/London]","0.0","0.09"
"Products assertion test","Verify the if the stores of limit is equal to 10","SUCCESS","2023-06-04T17:56:07.661+01:00[Europe/London]","0.0","0.02"
"Products assertion test","Check the single ‘Name’ in the Array list (Duracell - AAA Batteries (4-Pack))","SUCCESS","2023-06-04T17:56:07.680+01:00[Europe/London]","0.0","0.02"
"Products assertion test","Check the multiple ‘Names’ in the ArrayList (Duracell - AA 1.5V CopperTop Batteries (4-Pack), Duracell - AA Batteries (8-Pack), Energizer - MAX Batteries AA (4-Pack))","SUCCESS","2023-06-04T17:56:07.699+01:00[Europe/London]","0.0","0.02"
"Products assertion test","Verify the productId=150115 inside categories of the third name is “Household Batteries”","SUCCESS","2023-06-04T17:56:07.723+01:00[Europe/London]","0.0","0.16"
"Products assertion test","Verify the categories second name = “Housewares” of productID = 333179","SUCCESS","2023-06-04T17:56:07.892+01:00[Europe/London]","0.0","0.03"
"Products assertion test","Verify the price = 4.99 of forth product","SUCCESS","2023-06-04T17:56:07.922+01:00[Europe/London]","0.0","0.02"
"Products assertion test","Verify the Product name = Duracell - D Batteries (4-Pack) of 6th product","SUCCESS","2023-06-04T17:56:07.943+01:00[Europe/London]","0.0","0.04"
"Products assertion test","Verify the ProductId = 333179 for the 9th product","SUCCESS","2023-06-04T17:56:07.986+01:00[Europe/London]","0.0","0.05"
"Products assertion test","Verify the productId = 346575 have 5 categories","SUCCESS","2023-06-04T17:56:08.041+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Extract the limit","SUCCESS","2023-06-04T17:56:08.699+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Extract the total","SUCCESS","2023-06-04T17:56:08.725+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Extract the name of 5th product","SUCCESS","2023-06-04T17:56:08.751+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Extract the names of all the products","SUCCESS","2023-06-04T17:56:08.781+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Extract the productId of all the products","SUCCESS","2023-06-04T17:56:08.813+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Print the size of the data list","SUCCESS","2023-06-04T17:56:08.841+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Get all the value of the product where product name = Energizer - MAX Batteries AA (4-Pack)","SUCCESS","2023-06-04T17:56:08.861+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Get the model of the product where product name = Energizer - N Cell E90 Batteries (2-Pack)","SUCCESS","2023-06-04T17:56:08.880+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Get all the categories of 8th products","SUCCESS","2023-06-04T17:56:08.909+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Get categories of the store where product id = 150115","SUCCESS","2023-06-04T17:56:08.941+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Get all the descriptions of all the products","SUCCESS","2023-06-04T17:56:08.974+01:00[Europe/London]","0.0","0.04"
"Products extraction test","Get id of all the all categories of all the products","SUCCESS","2023-06-04T17:56:09.014+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Find the product names Where type = HardGood","SUCCESS","2023-06-04T17:56:09.034+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Find the Total number of categories for the product where product name = Duracell - AA 1.5V CopperTop Batteries (4-Pack)","SUCCESS","2023-06-04T17:56:09.058+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the createdAt for all products whose price < 5.49","SUCCESS","2023-06-04T17:56:09.086+01:00[Europe/London]","0.0","0.14"
"Products extraction test","Find the name of all categories Where product name = “Energizer - MAX Batteries AA (4-Pack)”","SUCCESS","2023-06-04T17:56:09.225+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the manufacturer of all the products","SUCCESS","2023-06-04T17:56:09.261+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the image of products whose manufacturer is = Energizer","SUCCESS","2023-06-04T17:56:09.296+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the createdAt for all categories products whose price > 5.99","SUCCESS","2023-06-04T17:56:09.324+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the uri of all the products","SUCCESS","2023-06-04T17:56:09.350+01:00[Europe/London]","0.0","0.02"
"Stores assertion test","Verify the if the total is equal to 1563","SUCCESS","2023-06-04T17:56:09.692+01:00[Europe/London]","0.0","0.06"
"Stores assertion test","Verify the if the stores of limit is equal to 10","SUCCESS","2023-06-04T17:56:09.748+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Check the single ‘Name’ in the Array list (Inver Grove Heights)","SUCCESS","2023-06-04T17:56:09.762+01:00[Europe/London]","0.0","0.02"
"Stores assertion test","Check the multiple ‘Names’ in the ArrayList (Roseville, Burnsville, Maplewood)","SUCCESS","2023-06-04T17:56:09.782+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Verify the storied=7 inside storeservices of the third store of second services","SUCCESS","2023-06-04T17:56:09.797+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Check hash map values ‘createdAt’ inside storeservices map where store name = Roseville","SUCCESS","2023-06-04T17:56:09.812+01:00[Europe/London]","0.0","0.02"
"Stores assertion test","Verify the state = MN of forth store","SUCCESS","2023-06-04T17:56:09.834+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Verify the store name = Rochester of 9th store","SUCCESS","2023-06-04T17:56:09.844+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Verify the storeId = 11 for the 6th store","SUCCESS","2023-06-04T17:56:09.858+01:00[Europe/London]","0.0","0.01"
"Stores assertion test","Verify the serviceId = 4 for the 7th store of forth service","SUCCESS","2023-06-04T17:56:09.871+01:00[Europe/London]","0.0","0.01"
"Stores extraction test","Extract the limit","SUCCESS","2023-06-04T17:56:10.190+01:00[Europe/London]","0.0","0.03"
"Stores extraction test","Extract the total","SUCCESS","2023-06-04T17:56:10.222+01:00[Europe/London]","0.0","0.03"
"Stores extraction test","Extract the name of 5th store","SUCCESS","2023-06-04T17:56:10.250+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Extract the names of all the store","SUCCESS","2023-06-04T17:56:10.293+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Extract the storeId of all the store","SUCCESS","2023-06-04T17:56:10.339+01:00[Europe/London]","0.0","0.05"
"Stores extraction test","Print the size of the data list","SUCCESS","2023-06-04T17:56:10.389+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Get all the value of the store where store name = St Cloud","SUCCESS","2023-06-04T17:56:10.434+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Get the address of the store where store name = Rochester","SUCCESS","2023-06-04T17:56:10.479+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Get all the services of 8th store","SUCCESS","2023-06-04T17:56:10.517+01:00[Europe/London]","0.0","0.14"
"Stores extraction test","Get storeServices of the store where service name = Windows Store","SUCCESS","2023-06-04T17:56:10.661+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Get all the storeId of all the store","SUCCESS","2023-06-04T17:56:10.705+01:00[Europe/London]","0.0","0.03"
"Stores extraction test","Get id of all the store","SUCCESS","2023-06-04T17:56:10.740+01:00[Europe/London]","0.0","0.06"
"Stores extraction test","Find the store names Where state = ND","SUCCESS","2023-06-04T17:56:10.797+01:00[Europe/London]","0.0","0.03"
"Stores extraction test","Find the Total number of services for the store where store name = Rochester","SUCCESS","2023-06-04T17:56:10.833+01:00[Europe/London]","0.0","0.02"
"Stores extraction test","Find the createdAt for all services whose name = “Windows Store”","SUCCESS","2023-06-04T17:56:10.858+01:00[Europe/London]","0.0","0.07"
"Stores extraction test","Find the name of all services Where store name = “Fargo”","SUCCESS","2023-06-04T17:56:10.929+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Find the zip of all the store","SUCCESS","2023-06-04T17:56:10.967+01:00[Europe/London]","0.0","0.02"
"Stores extraction test","Find the zip of store name = Roseville","SUCCESS","2023-06-04T17:56:10.993+01:00[Europe/London]","0.0","0.02"
"Stores extraction test","Find the storeServices details of the service name = Magnolia Home Theater","SUCCESS","2023-06-04T17:56:11.017+01:00[Europe/London]","0.0","0.02"
"Stores extraction test","Find the lat of all the stores","SUCCESS","2023-06-04T17:56:11.042+01:00[Europe/London]","0.0","0.02"
