"Story","Title","Result","Date","Stability","Duration (s)"
"Products assertion test","Verify the if the total is equal to 51957","SUCCESS","2023-06-04T17:56:07.570+01:00[Europe/London]","0.0","0.09"
"Products assertion test","Verify the if the stores of limit is equal to 10","SUCCESS","2023-06-04T17:56:07.661+01:00[Europe/London]","0.0","0.02"
"Products assertion test","Check the single ‘Name’ in the Array list (Duracell - AAA Batteries (4-Pack))","SUCCESS","2023-06-04T17:56:07.680+01:00[Europe/London]","0.0","0.02"
"Products assertion test","Check the multiple ‘Names’ in the ArrayList (Duracell - AA 1.5V CopperTop Batteries (4-Pack), Duracell - AA Batteries (8-Pack), Energizer - MAX Batteries AA (4-Pack))","SUCCESS","2023-06-04T17:56:07.699+01:00[Europe/London]","0.0","0.02"
"Products assertion test","Verify the productId=150115 inside categories of the third name is “Household Batteries”","SUCCESS","2023-06-04T17:56:07.723+01:00[Europe/London]","0.0","0.16"
"Products assertion test","Verify the categories second name = “Housewares” of productID = 333179","SUCCESS","2023-06-04T17:56:07.892+01:00[Europe/London]","0.0","0.03"
"Products assertion test","Verify the price = 4.99 of forth product","SUCCESS","2023-06-04T17:56:07.922+01:00[Europe/London]","0.0","0.02"
"Products assertion test","Verify the Product name = Duracell - D Batteries (4-Pack) of 6th product","SUCCESS","2023-06-04T17:56:07.943+01:00[Europe/London]","0.0","0.04"
"Products assertion test","Verify the ProductId = 333179 for the 9th product","SUCCESS","2023-06-04T17:56:07.986+01:00[Europe/London]","0.0","0.05"
"Products assertion test","Verify the productId = 346575 have 5 categories","SUCCESS","2023-06-04T17:56:08.041+01:00[Europe/London]","0.0","0.03"
