"Story","Title","Result","Date","Stability","Duration (s)"
"Products extraction test","Extract the limit","SUCCESS","2023-06-04T17:56:08.699+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Extract the total","SUCCESS","2023-06-04T17:56:08.725+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Extract the name of 5th product","SUCCESS","2023-06-04T17:56:08.751+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Extract the names of all the products","SUCCESS","2023-06-04T17:56:08.781+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Extract the productId of all the products","SUCCESS","2023-06-04T17:56:08.813+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Print the size of the data list","SUCCESS","2023-06-04T17:56:08.841+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Get all the value of the product where product name = Energizer - MAX Batteries AA (4-Pack)","SUCCESS","2023-06-04T17:56:08.861+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Get the model of the product where product name = Energizer - N Cell E90 Batteries (2-Pack)","SUCCESS","2023-06-04T17:56:08.880+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Get all the categories of 8th products","SUCCESS","2023-06-04T17:56:08.909+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Get categories of the store where product id = 150115","SUCCESS","2023-06-04T17:56:08.941+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Get all the descriptions of all the products","SUCCESS","2023-06-04T17:56:08.974+01:00[Europe/London]","0.0","0.04"
"Products extraction test","Get id of all the all categories of all the products","SUCCESS","2023-06-04T17:56:09.014+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Find the product names Where type = HardGood","SUCCESS","2023-06-04T17:56:09.034+01:00[Europe/London]","0.0","0.02"
"Products extraction test","Find the Total number of categories for the product where product name = Duracell - AA 1.5V CopperTop Batteries (4-Pack)","SUCCESS","2023-06-04T17:56:09.058+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the createdAt for all products whose price < 5.49","SUCCESS","2023-06-04T17:56:09.086+01:00[Europe/London]","0.0","0.14"
"Products extraction test","Find the name of all categories Where product name = “Energizer - MAX Batteries AA (4-Pack)”","SUCCESS","2023-06-04T17:56:09.225+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the manufacturer of all the products","SUCCESS","2023-06-04T17:56:09.261+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the image of products whose manufacturer is = Energizer","SUCCESS","2023-06-04T17:56:09.296+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the createdAt for all categories products whose price > 5.99","SUCCESS","2023-06-04T17:56:09.324+01:00[Europe/London]","0.0","0.03"
"Products extraction test","Find the uri of all the products","SUCCESS","2023-06-04T17:56:09.350+01:00[Europe/London]","0.0","0.02"
