"Story","Title","Result","Date","Stability","Duration (s)"
"Stores extraction test","Extract the limit","SUCCESS","2023-06-04T17:56:10.190+01:00[Europe/London]","0.0","0.03"
"Stores extraction test","Extract the total","SUCCESS","2023-06-04T17:56:10.222+01:00[Europe/London]","0.0","0.03"
"Stores extraction test","Extract the name of 5th store","SUCCESS","2023-06-04T17:56:10.250+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Extract the names of all the store","SUCCESS","2023-06-04T17:56:10.293+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Extract the storeId of all the store","SUCCESS","2023-06-04T17:56:10.339+01:00[Europe/London]","0.0","0.05"
"Stores extraction test","Print the size of the data list","SUCCESS","2023-06-04T17:56:10.389+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Get all the value of the store where store name = St Cloud","SUCCESS","2023-06-04T17:56:10.434+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Get the address of the store where store name = Rochester","SUCCESS","2023-06-04T17:56:10.479+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Get all the services of 8th store","SUCCESS","2023-06-04T17:56:10.517+01:00[Europe/London]","0.0","0.14"
"Stores extraction test","Get storeServices of the store where service name = Windows Store","SUCCESS","2023-06-04T17:56:10.661+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Get all the storeId of all the store","SUCCESS","2023-06-04T17:56:10.705+01:00[Europe/London]","0.0","0.03"
"Stores extraction test","Get id of all the store","SUCCESS","2023-06-04T17:56:10.740+01:00[Europe/London]","0.0","0.06"
"Stores extraction test","Find the store names Where state = ND","SUCCESS","2023-06-04T17:56:10.797+01:00[Europe/London]","0.0","0.03"
"Stores extraction test","Find the Total number of services for the store where store name = Rochester","SUCCESS","2023-06-04T17:56:10.833+01:00[Europe/London]","0.0","0.02"
"Stores extraction test","Find the createdAt for all services whose name = “Windows Store”","SUCCESS","2023-06-04T17:56:10.858+01:00[Europe/London]","0.0","0.07"
"Stores extraction test","Find the name of all services Where store name = “Fargo”","SUCCESS","2023-06-04T17:56:10.929+01:00[Europe/London]","0.0","0.04"
"Stores extraction test","Find the zip of all the store","SUCCESS","2023-06-04T17:56:10.967+01:00[Europe/London]","0.0","0.02"
"Stores extraction test","Find the zip of store name = Roseville","SUCCESS","2023-06-04T17:56:10.993+01:00[Europe/London]","0.0","0.02"
"Stores extraction test","Find the storeServices details of the service name = Magnolia Home Theater","SUCCESS","2023-06-04T17:56:11.017+01:00[Europe/London]","0.0","0.02"
"Stores extraction test","Find the lat of all the stores","SUCCESS","2023-06-04T17:56:11.042+01:00[Europe/London]","0.0","0.02"
